Word,uniqueID,moves_freq_1,moves_freq_2,moves_freq_3,moves_freq_4,moves_freq_5,moves_freq_6,moves_freq_7
glue,glue,15,12,2,2,3,2,0
go-kart,go-kart,0,0,0,1,0,11,26
goalpost,goalpost,32,6,2,0,0,0,0
goat,goat,0,0,1,0,0,9,27
goblet,goblet,17,11,3,1,5,3,0
goggles,goggles,19,10,1,3,1,0,1
gold,gold,21,12,2,2,1,1,1
goldfish,goldfish,0,0,0,0,0,2,36
golf cart,golf_cart,0,1,0,1,3,15,18
golf club,golf_club,13,5,2,3,6,3,0
gondola,gondola,0,1,1,3,6,12,15
gong,gong,10,5,0,2,15,4,3
goose,goose,0,0,0,0,0,9,31
gopher,gopher,0,0,0,0,0,6,32
gorilla,gorilla,0,0,0,0,0,4,34
gourd,gourd,15,13,5,1,3,0,0
graffiti,graffiti,30,6,1,0,0,0,0
grain,grain,13,11,5,1,4,3,2
gramophone,gramophone,10,3,4,2,8,5,3
granite,granite,25,8,3,2,1,0,0
granola,granola,21,10,1,2,1,2,0
grape,grape,17,5,3,4,4,3,1
grapefruit,grapefruit,21,9,3,3,0,1,0
grapevine,grapevine,6,6,5,1,13,6,2
grass,grass,3,6,3,2,13,4,5
grasshopper,grasshopper,0,0,0,0,0,2,34
grate,grate,17,11,5,4,2,0,0
grater,grater,23,6,3,1,3,1,0
gravel,gravel,21,2,3,3,6,1,0
gravestone,gravestone,25,7,1,2,0,1,1
gravy,gravy,16,8,2,4,6,1,0
green beans,green_beans,18,12,5,3,1,1,0
grenade,grenade,13,10,1,2,5,6,1
grill,grill,12,5,2,4,8,4,1
grille,grille,16,12,4,2,5,1,0
grinder,grinder,11,3,3,0,10,6,5
grits,grits,19,10,1,4,0,1,0
groundhog,groundhog,0,0,0,0,1,3,32
guacamole,guacamole,24,6,4,1,0,1,0
guardrail,guardrail,23,9,4,0,1,0,1
guillotine,guillotine,4,5,1,3,12,10,3
guinea pig,guinea_pig,0,0,0,1,0,4,30
guitar,guitar,17,9,2,4,5,2,0
gum,gum,25,9,1,1,3,0,0
gumball,gumball,19,10,3,4,2,1,0
gumdrop,gumdrop,19,11,2,2,1,0,1
gun,gun,19,12,1,1,3,2,0
gurney,gurney,2,3,2,1,5,17,9
